# https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2017_Gazetteer/2017_gaz_cousubs_36.txt
INTPTLAT,INTPTLONG
42.652831,-78.755464
42.594817,-79.0247
42.892492,-78.859686
42.548402,-79.007703
42.910021,-78.741821
43.024671,-78.645666
42.648107,-78.646394
42.491843,-78.86835
42.545328,-78.703049
42.654828,-78.882204
42.828313,-78.647604
42.654805,-79.004975
43.017901,-78.962657
42.739109,-78.85713
42.670445,-78.524233
42.818424,-78.832769
42.910916,-78.632223
42.824491,-78.528331
43.016832,-78.521355
42.573346,-78.859472
42.752803,-78.739697
42.557155,-78.531553
43.011935,-78.883443
42.98337,-78.875671
43.075018,-78.477699
42.739402,-78.517591
42.837777,-78.751233
44.453432,-73.448719
43.963837,-73.583248
44.191221,-73.650223
44.293862,-73.395443
44.377625,-73.696474
44.122772,-73.8835
44.318369,-73.581246
43.855332,-74.118359
44.054967,-73.532619
44.007177,-74.099965
44.206555,-74.046061
44.02701,-73.758053
44.374346,-74.012252
43.855433,-73.761629
43.836596,-73.552843
44.184305,-73.446482
44.385498,-73.398703
44.372798,-73.892043
44.837505,-74.430139
44.760906,-74.131481
44.914578,-74.586536
44.735417,-74.414747
44.469499,-74.247334
44.926169,-74.182069
44.930519,-74.076287
44.967307,-74.280786
44.728144,-74.5397
44.600671,-74.232793
44.950102,-74.489629
44.520103,-74.069774
44.218046,-74.206573
44.772856,-74.28157
44.829578,-74.558807
44.978707,-74.643075
44.497832,-74.363015
44.243636,-74.466772
44.525919,-74.545273
44.940501,-74.383478
43.173404,-74.381782
43.076333,-74.152367
43.124008,-74.52507
43.037432,-74.561468
43.049244,-74.345815
43.007335,-74.375065
43.044322,-74.398332
43.124809,-74.262809
43.157631,-74.171313
43.082177,-74.671975
43.005384,-74.203965
43.209569,-74.609995
43.090053,-78.36648
42.920586,-78.250065
42.998558,-78.180806
42.996988,-78.227989
43.096202,-77.955498
42.919587,-78.126802
43.084761,-78.066965
42.908718,-78.382071
43.093162,-78.171376
42.992655,-77.966199
43.084919,-78.274609
42.907121,-78.011511
43.001529,-78.385383
42.990298,-78.084248
43.0658,-78.435329
42.319401,-74.334612
42.276515,-73.85924
42.298995,-74.015684
42.208689,-73.938888
42.34568,-73.863305
42.373601,-74.153148
42.397106,-74.014815
42.220267,-74.476398
42.165514,-74.152362
42.237859,-74.231061
42.209011,-74.333444
42.420048,-73.862587
42.319676,-74.413795
42.318041,-74.216577
43.500221,-74.579544
43.290057,-74.366106
43.323352,-74.234765
43.806379,-74.417665
43.72179,-74.714836
43.578905,-74.424033
43.965763,-74.634962
43.447279,-74.694629
43.475631,-74.28541
42.929047,-75.046258
42.981657,-74.795922
43.13112,-74.937983
43.040722,-75.13694
42.987508,-74.98369
43.061009,-75.000439
42.967722,-75.163817
43.044835,-74.856688
43.018379,-74.894737
43.057893,-74.799432
43.175542,-75.038696
43.228913,-74.950476
43.407489,-75.011683
43.308401,-75.066672
43.221999,-74.800865
43.112509,-75.096412
42.927935,-74.824074
42.898902,-74.938362
43.821769,-75.040114
42.897097,-75.165933
43.826876,-76.450864
43.844658,-76.054289
44.319906,-75.878416
44.221394,-75.601758
44.02688,-76.083381
44.114766,-76.290981
43.973154,-75.706123
44.204332,-76.079719
43.747325,-76.113151
43.855211,-76.180197
43.908879,-76.307152
44.078703,-75.795761
43.746703,-75.978134
44.024801,-76.228673
44.22403,-75.954708
44.055836,-75.909229
44.142556,-75.704816
43.843312,-75.901905
43.943965,-75.786215
44.262018,-75.774414
43.973292,-75.910039
43.932813,-75.919026
44.055481,-75.588747
43.74359,-75.844697
40.635045,-73.95064
43.96592,-75.337733
43.898222,-75.631239
44.108159,-75.372574
43.691839,-75.204374
43.836648,-75.665737
43.490911,-75.558906
43.534488,-75.382362
43.813957,-75.5182
43.594911,-75.248869
43.726107,-75.540138
43.715389,-75.716896
43.851984,-75.368301
43.565418,-75.688833
43.834407,-75.788975
43.66144,-75.427289
43.829694,-75.236808
43.593319,-75.507486
42.898209,-77.720635
42.958956,-77.815206
42.703501,-77.641051
42.806633,-77.779568
42.709642,-77.768727
42.760288,-77.904502
42.895889,-77.608672
42.809033,-77.653613
42.664871,-77.904533
42.55834,-77.691505
42.572208,-77.882896
42.514478,-77.770393
42.559566,-77.994897
42.627788,-77.697582
42.623129,-77.573945
42.610449,-77.789193
42.866017,-77.893166
42.807991,-75.343295
42.915928,-75.861962
42.769674,-75.847096
42.890126,-75.630046
42.974926,-75.773344
42.786643,-75.743698
42.792526,-75.489362
42.780128,-75.626215
43.111571,-75.756992
43.032236,-75.733805
42.892429,-75.500629
42.885733,-75.745149
43.070448,-75.673561
42.964853,-75.664275
42.986055,-75.591361
43.090656,-75.883563
43.464475,-77.664656
43.11882,-77.58102
43.085609,-77.745242
43.24506,-77.932455
43.11221,-77.487176
43.152019,-77.713389
43.250347,-77.700518
43.322307,-77.919746
43.054316,-77.640078
43.209811,-77.572056
42.982472,-77.55562
43.170257,-77.814383
43.268626,-77.799747
43.151464,-77.444396
43.078241,-77.429678
43.073092,-77.526068
43.077285,-77.872557
43.169927,-77.616891
42.971329,-77.673143
43.176584,-77.925586
43.230249,-77.445816
43.009222,-77.815928
42.941628,-74.190566
42.955565,-74.166075
42.865377,-74.614888
42.824769,-74.355762
42.894986,-74.201034
42.900914,-74.351215
42.931443,-74.696501
42.956069,-74.401829
42.951209,-74.536767
42.842983,-74.486242
43.004564,-74.682751
40.883261,-73.64487
40.633959,-73.6091
40.585835,-73.665403
40.803357,-73.678402
40.800488,-73.510564
40.776642,-73.970187
43.456731,-78.792142
43.176589,-78.820251
43.258139,-78.554677
43.184149,-78.951416
43.169446,-78.695833
43.149249,-78.688845
43.290183,-78.692824
43.115446,-78.980979
43.092841,-79.014743
43.049157,-78.871224
43.104374,-78.764588
43.257885,-78.970237
43.156443,-78.556155
43.335736,-78.548106
43.088886,-78.477226
43.162883,-78.950865
43.095396,-78.885375
43.272672,-78.812943
43.345241,-75.614699
42.977174,-75.502226
43.414296,-75.441248
43.459155,-75.28507
42.904171,-75.265132
43.345094,-75.774347
43.185088,-75.151134
43.418917,-75.73974
43.239952,-75.324083
43.495961,-75.147584
43.036731,-75.384504
43.325161,-75.518579
43.172611,-75.26774
42.967126,-75.386204
43.057841,-75.281803
42.972126,-75.268197
43.366186,-75.145858
43.226002,-75.489523
42.891607,-75.38022
43.070439,-75.599216
43.352758,-75.263978
43.260168,-75.206381
43.096382,-75.225983
43.065931,-75.529692
43.159646,-75.627559
43.232038,-75.770431
43.350032,-75.410715
43.121496,-75.439061
43.13574,-75.335911
43.066596,-76.313465
43.172142,-76.056249
43.178698,-76.192114
43.053886,-76.071794
43.053692,-76.437133
42.819749,-75.985163
43.076667,-76.224544
42.907651,-76.103328
43.184174,-76.373925
43.052949,-75.980474
42.942413,-76.323453
42.980793,-76.223386
42.926508,-76.153224
42.862345,-76.227534
42.920118,-75.987654
43.104764,-76.171345
42.89104,-76.413885
42.8297,-76.289228
43.040998,-76.143554
42.808361,-76.137034
43.119934,-76.354809
42.80811,-77.425596
42.718531,-77.558586
42.888999,-77.280321
42.861633,-77.314188
42.899446,-77.422374
42.989455,-77.308679
42.866758,-76.986574
42.83337,-77.005516
42.797542,-77.197887
42.893493,-77.195885
42.987045,-77.194148
42.624554,-77.432501
42.957058,-77.047327
42.792188,-77.524422
42.833118,-77.073631
42.694509,-77.405523
42.989185,-77.428121
42.891999,-77.501292
41.395426,-74.184303
41.330251,-74.27696
41.414188,-74.061294
41.571408,-74.315705
41.442335,-74.656785
41.381005,-74.352471
41.373747,-74.598201
41.449335,-74.244749
41.369865,-74.005885
41.444922,-74.423573
41.324076,-74.541179
41.30415,-74.195151
41.539726,-74.209958
41.456318,-74.526968
41.503249,-74.01964
41.557401,-74.057242
41.474548,-74.110922
41.376969,-74.694001
41.242006,-74.171688
41.489363,-74.400492
41.259756,-74.361002
41.382931,-74.467685
41.327873,-74.102269
43.502287,-78.229726
43.226343,-78.209387
43.179026,-78.211392
43.339906,-78.207028
43.174402,-78.056338
43.275759,-78.19805
43.329114,-78.051662
43.25847,-78.057139
43.26239,-78.376743
43.173342,-78.386811
43.339463,-78.388285
43.595743,-76.443285
43.489292,-76.030916
43.377133,-75.918458
43.657921,-75.953469
43.25884,-75.963734
43.319714,-76.415903
43.289741,-76.441744
43.310917,-76.549843
43.320387,-76.156606
43.455062,-76.204628
43.402134,-76.481034
43.471604,-76.317562
43.562832,-75.953544
43.458052,-76.503689
43.402443,-76.555037
43.367354,-76.259496
43.403463,-76.056042
43.58729,-75.828862
43.550785,-76.165366
43.630705,-76.12357
43.25759,-76.276426
43.457249,-76.419713
43.36042,-76.369664
43.305567,-76.089092
43.455121,-75.887933
42.71732,-75.144629
42.469617,-75.320901
42.808922,-74.722042
42.657096,-74.705713
42.722913,-75.26027
42.79894,-75.077522
42.645681,-75.015139
42.535705,-75.118079
42.550963,-74.865957
42.697002,-74.855985
42.546091,-74.979126
42.542838,-75.264074
42.624535,-75.133503
42.454818,-75.066884
42.425126,-75.099875
42.455996,-75.191937
42.759222,-74.9632
42.613708,-75.271482
42.828404,-75.194703
42.851319,-75.04769
42.726358,-74.711108
42.83339,-74.866643
42.368462,-75.331561
42.646092,-74.825846
42.582627,-74.724015
41.387098,-73.722738
41.457619,-73.724608
41.484162,-73.587786
41.412373,-73.921362
41.395364,-73.839053
41.40819,-73.600783
40.658566,-73.838017
42.654018,-73.379702
42.745843,-73.585147
42.605098,-73.70032
42.764504,-73.456397
42.876802,-73.351525
42.547941,-73.544568
42.673286,-73.668939
42.778625,-73.327429
42.866303,-73.516616
42.7002,-73.522487
42.64574,-73.732513
42.63035,-73.542887
42.883991,-73.610736
42.531442,-73.683159
42.554474,-73.410846
42.735812,-73.675321
40.561263,-74.1399
41.134184,-73.965733
41.202899,-74.039051
41.053687,-73.94809
41.140772,-74.104976
41.253792,-74.001082
44.888187,-74.723707
44.574414,-75.210848
44.356596,-75.013141
44.201398,-74.88575
44.367987,-74.814405
44.47588,-75.365448
44.535363,-75.458682
44.286952,-75.281419
44.154272,-75.085765
44.275595,-75.403237
44.355092,-75.48981
44.438757,-75.726453
44.397868,-75.289157
44.536665,-74.661131
44.745606,-74.676345
44.696518,-75.305716
44.907722,-75.012207
44.438707,-75.571306
44.770755,-75.128545
44.96202,-74.83465
44.530931,-75.634508
44.837888,-74.93574
44.70918,-75.463271
44.630179,-75.490706
44.550545,-74.784882
44.223107,-74.604155
44.527289,-75.011968
44.221807,-75.269855
44.681716,-75.037123
44.325109,-75.623697
44.402017,-75.14074
44.745612,-74.855877
44.831296,-75.192048
42.951295,-73.887168
42.957874,-73.991978
42.858993,-73.822974
43.228592,-73.922202
43.321068,-74.027621
43.222999,-74.070044
43.032192,-74.032079
43.137999,-73.872299
43.337431,-73.905869
