# https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2017_Gazetteer/2017_gaz_place_36.txt
INTPTLAT,INTPTLONG
40.720115,-73.558861
40.809637,-72.75974
42.538976,-73.504976
40.879155,-73.323231
40.849523,-73.528852
40.770031,-72.981772
40.840789,-72.725732
40.849267,-72.578898
42.168067,-78.957184
43.11221,-77.487176
40.643804,-73.66713
40.945927,-72.881153
43.063722,-76.069696
40.76085,-73.633607
40.933077,-73.394794
42.652344,-78.9013
42.698855,-75.252297
44.320129,-75.24921
42.966475,-78.807187
43.076804,-78.188908
43.03665,-76.443282
44.226219,-73.58892
41.704744,-74.36219
42.274852,-78.672283
43.735102,-76.134388
42.828198,-78.634291
42.093388,-76.80961
42.12669,-76.825566
40.699176,-73.706166
41.054129,-73.814401
40.846198,-73.338874
42.097489,-76.063376
42.122864,-76.023572
42.184077,-76.6717
42.764633,-74.257392
44.086978,-75.807761
42.834657,-75.984688
43.323178,-76.704679
43.041397,-76.248556
43.099465,-77.443069
41.732112,-73.912395
41.04419,-73.795952
42.118985,-79.197274
40.732762,-73.446471
40.838872,-73.040144
42.595064,-79.080859
43.032711,-75.997843
44.018932,-75.758227
42.466951,-78.110703
40.637142,-73.203324
41.442048,-74.033072
41.273581,-71.969016
44.275946,-76.002255
41.533942,-73.892754
40.886572,-72.603144
42.154925,-74.534827
40.721952,-73.702824
41.330641,-74.354202
40.807541,-73.675611
42.953384,-74.372869
42.453137,-76.471611
42.469103,-79.175491
43.415731,-73.490512
44.971778,-74.507574
44.044709,-75.787763
43.268618,-73.582617
42.958023,-74.236342
41.342865,-73.98718
42.932658,-74.626804
40.903614,-73.302468
42.893958,-77.848057
43.037753,-75.071582
42.340783,-75.168021
40.70018,-73.677487
42.334746,-78.454766
42.440673,-79.331989
41.665788,-73.79836
40.652407,-73.584993
42.50841,-76.347162
42.056055,-79.133687
42.205552,-78.141811
43.319714,-76.415903
42.946229,-74.369778
42.641494,-78.134659
43.087373,-76.180784
43.018516,-74.031838
42.160372,-77.127611
40.725756,-73.645398
40.74293,-73.663307
40.712115,-73.660449
41.679517,-74.147896
41.539574,-74.057223
43.195577,-78.576765
43.153373,-77.704372
42.798989,-77.809545
42.863488,-76.982722
42.135945,-73.888021
42.323521,-73.61936
42.46933,-75.322609
40.636151,-73.383775
42.045563,-73.950026
42.262284,-76.000292
40.883261,-73.64487
40.844918,-73.618018
44.00307,-75.958398
43.31116,-73.645286
43.332542,-73.679729
40.829433,-73.637714
43.049244,-74.345815
41.288102,-73.668835
40.863167,-72.962088
42.799644,-77.134654
41.401656,-74.326851
44.336573,-75.466035
42.460428,-78.934518
41.062851,-73.920896
42.988488,-78.954566
43.413407,-73.264393
44.016829,-75.700166
40.802368,-73.733099
40.786476,-73.740167
40.796971,-73.722697
40.786884,-73.726212
40.716524,-73.162242
43.209517,-77.702642
42.330068,-75.767686
42.74787,-73.692595
40.864095,-73.363427
41.102428,-72.366763
41.090906,-72.387821
40.811942,-73.626388
42.413789,-74.020324
40.998643,-73.818977
43.08644,-73.496674
41.221103,-74.287578
42.830719,-77.901428
42.58343,-76.35986
42.663379,-77.76667
42.407337,-75.485417
43.295589,-73.829936
42.970733,-74.15979
44.311603,-75.433024
40.887104,-73.41468
42.796506,-77.067963
42.723357,-78.834804
42.828457,-75.553015
43.302325,-77.921793
44.446385,-75.693499
42.40874,-77.222858
40.87027,-72.521704
42.622736,-73.72391
41.953028,-75.28209
44.600678,-74.97536
43.319437,-76.577742
40.788588,-73.749019
40.602508,-73.66472
41.309014,-74.144033
42.972969,-78.679265
41.026444,-73.723707
44.153352,-75.321198
41.015364,-73.803497
42.658609,-75.061109
40.988041,-73.881236
40.822351,-73.210701
41.178245,-73.943331
41.768879,-73.899959
41.103428,-73.796963
40.897658,-73.161536
42.793788,-77.607439
40.704374,-73.619445
43.848019,-76.184953
41.339661,-73.700677
43.028078,-74.993306
44.467019,-75.231171
40.756682,-73.663491
44.023009,-75.655027
44.61639,-75.399983
40.641996,-73.694393
40.63512,-73.695824
40.633619,-73.685898
40.624763,-73.697082
40.764136,-73.524806
41.827547,-74.118478
41.717306,-73.964718
41.364565,-73.968924
41.127177,-74.170503
41.129821,-74.035032
41.91905,-74.033686
41.615764,-73.79697
43.289972,-77.792559
42.372156,-74.668541
40.794407,-73.07069
42.637476,-78.551775
43.241147,-75.256575
43.224657,-78.029194
40.812373,-73.044653
42.637233,-76.185377
42.790135,-77.514793
42.954677,-77.591126
42.900907,-73.349968
41.579421,-73.803913
42.325722,-77.660429
42.168632,-76.829658
42.19664,-76.804664
41.766137,-75.022039
42.428298,-78.172646
42.251905,-73.786028
43.304735,-73.581587
42.547566,-77.991204
42.210532,-74.215431
40.878127,-73.407664
40.903556,-73.412127
40.844488,-73.404812
41.910209,-74.062247
41.782602,-73.93447
43.011261,-75.039655
42.61782,-76.725474
40.621346,-73.75699
43.209811,-77.572056
41.034258,-73.867028
40.806844,-73.171051
40.605157,-73.655479
40.735467,-73.216395
40.750615,-73.187191
42.443937,-76.503055
40.961442,-72.583372
42.097603,-79.236135
42.088508,-79.281097
42.235642,-73.882099
41.319935,-73.801118
41.777521,-74.925853
40.786045,-73.541253
42.125288,-75.963406
43.007335,-74.375065
43.067088,-76.472868
41.121249,-74.068576
41.255069,-73.685185
44.504096,-73.481109
42.964633,-78.87129
42.158893,-79.098266
40.793077,-73.722242
41.779391,-74.295611
42.612536,-77.092405
42.394382,-73.703768
40.886964,-73.245571
40.817892,-73.73932
41.930124,-73.996782
41.337907,-74.165805
42.652845,-77.794881
42.818424,-78.832769
43.642654,-76.066066
44.192383,-75.955933
41.462746,-73.663331
42.624182,-79.078563
43.425924,-73.715168
40.857817,-73.116844
41.985218,-73.989759
43.090869,-76.24261
43.324809,-73.837711
41.308286,-73.847234
44.28423,-73.986439
40.830438,-73.11175
40.763887,-73.711083
40.677732,-73.649718
42.836761,-77.703154
42.099123,-79.320066
42.9006,-78.668775
42.49015,-76.486521
40.925961,-73.75196
40.89464,-73.595343
40.972918,-72.554532
40.8567,-73.477542
42.531319,-75.088716
40.604103,-73.712824
42.249681,-73.892333
42.770939,-77.896904
42.978006,-77.990874
40.72399,-73.512709
43.171869,-79.039561
41.796593,-74.743195
40.589098,-73.604318
42.906948,-77.612263
42.433002,-78.484684
42.017267,-78.631327
41.335313,-73.726693
41.958041,-74.004812
40.685751,-73.371594
42.896705,-77.947602
42.349054,-76.005522
43.044835,-74.856688
42.249365,-78.798751
43.105566,-76.209664
41.887164,-74.823643
42.82193,-77.6688
42.82106,-77.642011
40.921496,-73.443386
41.775216,-74.65965
43.169446,-78.695833
40.878116,-73.58883
42.6134,-76.821978
40.585835,-73.665403
43.967474,-74.426913
42.270073,-73.775715
43.765568,-75.952291
43.786667,-75.487417
40.65788,-73.674196
43.082032,-76.126268
43.321345,-78.388869
44.72497,-73.882357
43.063509,-76.990953
43.617008,-75.361634
43.068813,-77.302503
42.593765,-76.097502
42.413621,-78.487052
42.897741,-75.512291
44.747381,-75.129351
41.367091,-73.741535
42.093226,-73.936475
44.848221,-74.28958
40.674541,-73.672101
